listing_id,host_id,score_type,score
2318,2536,Accuracy,5
2318,2536,Cleanliness,5
2318,2536,Checkin,5
2318,2536,Communication,5
2318,2536,Location,4.97
2318,2536,Value,4.8
6606,14942,Accuracy,4.67
6606,14942,Cleanliness,4.67
6606,14942,Checkin,4.82
6606,14942,Communication,4.76
6606,14942,Location,4.88
6606,14942,Value,4.56
9419,30559,Accuracy,4.75
9419,30559,Cleanliness,4.72
9419,30559,Checkin,4.92
9419,30559,Communication,4.87
9419,30559,Location,4.63
9419,30559,Value,4.61
9531,31481,Accuracy,4.98
9531,31481,Cleanliness,4.96
9531,31481,Checkin,4.98
9531,31481,Communication,4.94
9531,31481,Location,4.98
9531,31481,Value,4.89
9534,31481,Accuracy,4.98
9534,31481,Cleanliness,4.98
9534,31481,Checkin,5
9534,31481,Communication,4.98
9534,31481,Location,4.95
9534,31481,Value,4.93
9596,14942,Accuracy,4.55
9596,14942,Cleanliness,4.5
9596,14942,Checkin,4.8
9596,14942,Communication,4.66
9596,14942,Location,4.91
9596,14942,Value,4.56
9909,33360,Accuracy,4.88
9909,33360,Cleanliness,4.88
9909,33360,Checkin,4.94
9909,33360,Communication,4.95
9909,33360,Location,4.85
9909,33360,Value,4.82
25002,102684,Accuracy,4.92
25002,102684,Cleanliness,4.92
25002,102684,Checkin,4.98
25002,102684,Communication,4.98
25002,102684,Location,4.9
25002,102684,Value,4.9
30712,107605,Accuracy,4.31
30712,107605,Cleanliness,3.57
30712,107605,Checkin,4.76
30712,107605,Communication,4.75
30712,107605,Location,4.73
30712,107605,Value,4.34
68508,340192,Accuracy,5
68508,340192,Cleanliness,5
68508,340192,Checkin,5
68508,340192,Communication,5
68508,340192,Location,5
68508,340192,Value,5
116221,587302,Accuracy,4.87
116221,587302,Cleanliness,4.89
116221,587302,Checkin,4.62
116221,587302,Communication,4.67
116221,587302,Location,4.91
116221,587302,Value,4.53
117165,559827,Accuracy,4.94
117165,559827,Cleanliness,4.95
117165,559827,Checkin,4.92
117165,559827,Communication,4.96
117165,559827,Location,4.86
117165,559827,Value,4.89
119103,601600,Accuracy,4.94
119103,601600,Cleanliness,4.81
119103,601600,Checkin,4.98
119103,601600,Communication,4.98
119103,601600,Location,4.97
119103,601600,Value,4.9
132120,378445,Accuracy,4.84
132120,378445,Cleanliness,4.66
132120,378445,Checkin,4.96
132120,378445,Communication,4.84
132120,378445,Location,4.96
132120,378445,Value,4.75
132160,558743,Accuracy,4.91
132160,558743,Cleanliness,4.89
132160,558743,Checkin,4.96
132160,558743,Communication,4.94
132160,558743,Location,4.93
132160,558743,Value,4.77
140331,683617,Accuracy,4.82
140331,683617,Cleanliness,4.8
140331,683617,Checkin,4.92
140331,683617,Communication,4.89
140331,683617,Location,4.74
140331,683617,Value,4.82
151545,306615,Accuracy,4.78
151545,306615,Cleanliness,4.67
151545,306615,Checkin,5
151545,306615,Communication,5
151545,306615,Location,4.93
151545,306615,Value,4.8
170273,804996,Accuracy,4.94
170273,804996,Cleanliness,4.97
170273,804996,Checkin,4.99
170273,804996,Communication,4.96
170273,804996,Location,4.94
170273,804996,Value,4.89
202251,601266,Accuracy,4.62
202251,601266,Cleanliness,4.62
202251,601266,Checkin,4.96
202251,601266,Communication,4.96
202251,601266,Location,4.73
202251,601266,Value,4.35
210316,2438665,Accuracy,4.69
210316,2438665,Cleanliness,4.85
210316,2438665,Checkin,4.95
210316,2438665,Communication,4.87
210316,2438665,Location,4.56
210316,2438665,Value,4.74
217142,8243075,Accuracy,4.82
217142,8243075,Cleanliness,4.82
217142,8243075,Checkin,4.83
217142,8243075,Communication,4.9
217142,8243075,Location,4.93
217142,8243075,Value,4.68
224763,8243075,Accuracy,4.78
224763,8243075,Cleanliness,4.84
224763,8243075,Checkin,4.8
224763,8243075,Communication,4.85
224763,8243075,Location,4.91
224763,8243075,Value,4.61
226536,209571,Accuracy,4.72
226536,209571,Cleanliness,4.79
226536,209571,Checkin,4.95
226536,209571,Communication,4.96
226536,209571,Location,4.88
226536,209571,Value,4.79
226677,30559,Accuracy,4.76
226677,30559,Cleanliness,4.82
226677,30559,Checkin,4.85
226677,30559,Communication,4.88
226677,30559,Location,4.75
226677,30559,Value,4.79
241016,956883,Accuracy,4.84
241016,956883,Cleanliness,4.78
241016,956883,Checkin,4.95
241016,956883,Communication,4.92
241016,956883,Location,4.69
241016,956883,Value,4.7
241032,956883,Accuracy,4.8
241032,956883,Cleanliness,4.78
241032,956883,Checkin,4.89
241032,956883,Communication,4.88
241032,956883,Location,4.59
241032,956883,Value,4.78
254340,1336214,Accuracy,4.92
254340,1336214,Cleanliness,4.97
254340,1336214,Checkin,4.99
254340,1336214,Communication,4.98
254340,1336214,Location,4.88
254340,1336214,Value,4.92
260613,1387754,Accuracy,4.94
260613,1387754,Cleanliness,5
260613,1387754,Checkin,4.85
260613,1387754,Communication,4.93
260613,1387754,Location,4.87
260613,1387754,Value,4.72
277416,8243075,Accuracy,4.87
277416,8243075,Cleanliness,4.9
277416,8243075,Checkin,4.85
277416,8243075,Communication,4.88
277416,8243075,Location,4.92
277416,8243075,Value,4.72
278830,1452570,Accuracy,4.64
278830,1452570,Cleanliness,4.73
278830,1452570,Checkin,4.92
278830,1452570,Communication,4.88
278830,1452570,Location,4.52
278830,1452570,Value,4.45
282934,781716,Accuracy,4.99
282934,781716,Cleanliness,4.99
282934,781716,Checkin,4.99
282934,781716,Communication,4.99
282934,781716,Location,4.89
282934,781716,Value,4.96
284087,721070,Accuracy,4.9
284087,721070,Cleanliness,4.81
284087,721070,Checkin,4.82
284087,721070,Communication,4.88
284087,721070,Location,4.9
284087,721070,Value,4.71
303277,1204187,Accuracy,4.83
303277,1204187,Cleanliness,4.92
303277,1204187,Checkin,4.83
303277,1204187,Communication,4.83
303277,1204187,Location,5
303277,1204187,Value,4.75
338091,1717589,Accuracy,4.75
338091,1717589,Cleanliness,4.26
338091,1717589,Checkin,4.74
338091,1717589,Communication,4.85
338091,1717589,Location,4.88
338091,1717589,Value,4.39
353110,1788284,Accuracy,4.84
353110,1788284,Cleanliness,4.8
353110,1788284,Checkin,4.92
353110,1788284,Communication,4.84
353110,1788284,Location,4.92
353110,1788284,Value,4.8
353347,791459,Accuracy,4.8
353347,791459,Cleanliness,4.71
353347,791459,Checkin,4.92
353347,791459,Communication,4.92
353347,791459,Location,4.63
353347,791459,Value,4.69
356248,306615,Accuracy,4.96
356248,306615,Cleanliness,4.88
356248,306615,Checkin,5
356248,306615,Communication,5
356248,306615,Location,4.92
356248,306615,Value,4.6
356608,1787819,Accuracy,4.87
356608,1787819,Cleanliness,4.87
356608,1787819,Checkin,4.92
356608,1787819,Communication,4.91
356608,1787819,Location,4.81
356608,1787819,Value,4.76
365550,1025723,Accuracy,4.81
365550,1025723,Cleanliness,4.87
365550,1025723,Checkin,4.92
365550,1025723,Communication,4.94
365550,1025723,Location,4.61
365550,1025723,Value,4.69
368403,4186078,Accuracy,4.81
368403,4186078,Cleanliness,4.88
368403,4186078,Checkin,4.81
368403,4186078,Communication,4.88
368403,4186078,Location,4.98
368403,4186078,Value,4.56
370361,1865986,Accuracy,4.91
370361,1865986,Cleanliness,4.91
370361,1865986,Checkin,4.98
370361,1865986,Communication,4.98
370361,1865986,Location,4.96
370361,1865986,Value,4.89
387078,1121532,Accuracy,4.79
387078,1121532,Cleanliness,4.85
387078,1121532,Checkin,4.78
387078,1121532,Communication,4.85
387078,1121532,Location,4.93
387078,1121532,Value,4.65
392140,3313235,Accuracy,4.86
392140,3313235,Cleanliness,4.81
392140,3313235,Checkin,4.89
392140,3313235,Communication,4.92
392140,3313235,Location,4.76
392140,3313235,Value,4.77
392779,437055,Accuracy,4.89
392779,437055,Cleanliness,4.87
392779,437055,Checkin,4.85
392779,437055,Communication,4.84
392779,437055,Location,4.67
392779,437055,Value,4.69
421168,2094547,Accuracy,4.92
421168,2094547,Cleanliness,4.93
421168,2094547,Checkin,4.95
421168,2094547,Communication,4.93
421168,2094547,Location,4.72
421168,2094547,Value,4.87
430610,165390,Accuracy,4.91
430610,165390,Cleanliness,4.81
430610,165390,Checkin,4.87
430610,165390,Communication,4.94
430610,165390,Location,4.89
430610,165390,Value,4.73
461234,1870781,Accuracy,4.87
461234,1870781,Cleanliness,4.9
461234,1870781,Checkin,4.94
461234,1870781,Communication,4.95
461234,1870781,Location,4.85
461234,1870781,Value,4.87
475361,2342082,Accuracy,4.79
475361,2342082,Cleanliness,4.91
475361,2342082,Checkin,4.96
475361,2342082,Communication,4.89
475361,2342082,Location,4.57
475361,2342082,Value,4.8
490076,3921530,Accuracy,4.78
490076,3921530,Cleanliness,4.7
490076,3921530,Checkin,4.76
490076,3921530,Communication,4.86
490076,3921530,Location,4.85
490076,3921530,Value,4.74
491958,2431399,Accuracy,4.86
491958,2431399,Cleanliness,4.93
491958,2431399,Checkin,4.96
491958,2431399,Communication,4.9
491958,2431399,Location,4.72
491958,2431399,Value,4.87
493591,2438665,Accuracy,4.75
493591,2438665,Cleanliness,4.81
493591,2438665,Checkin,4.88
493591,2438665,Communication,4.87
493591,2438665,Location,4.7
493591,2438665,Value,4.77
544433,2612779,Accuracy,4.88
544433,2612779,Cleanliness,4.93
544433,2612779,Checkin,4.93
544433,2612779,Communication,4.9
544433,2612779,Location,4.85
544433,2612779,Value,4.79
552325,306615,Accuracy,4.83
552325,306615,Cleanliness,4.47
552325,306615,Checkin,4.93
552325,306615,Communication,4.97
552325,306615,Location,4.93
552325,306615,Value,4.8
564220,2774354,Accuracy,4.84
564220,2774354,Cleanliness,4.6
564220,2774354,Checkin,4.93
564220,2774354,Communication,4.94
564220,2774354,Location,4.84
564220,2774354,Value,4.83
564428,2774354,Accuracy,4.78
564428,2774354,Cleanliness,4.49
564428,2774354,Checkin,4.86
564428,2774354,Communication,4.89
564428,2774354,Location,4.64
564428,2774354,Value,4.72
565703,2781551,Accuracy,4.74
565703,2781551,Cleanliness,4.6
565703,2781551,Checkin,4.92
565703,2781551,Communication,4.92
565703,2781551,Location,4.82
565703,2781551,Value,4.73
566435,2438665,Accuracy,4.77
566435,2438665,Cleanliness,4.89
566435,2438665,Checkin,4.87
566435,2438665,Communication,4.89
566435,2438665,Location,4.7
566435,2438665,Value,4.78
573942,30559,Accuracy,4.76
573942,30559,Cleanliness,4.76
573942,30559,Checkin,4.83
573942,30559,Communication,4.86
573942,30559,Location,4.74
573942,30559,Value,4.77
580815,1787819,Accuracy,4.88
580815,1787819,Cleanliness,4.78
580815,1787819,Checkin,4.81
580815,1787819,Communication,4.88
580815,1787819,Location,4.88
580815,1787819,Value,4.74
598023,2613029,Accuracy,4.75
598023,2613029,Cleanliness,4.57
598023,2613029,Checkin,4.9
598023,2613029,Communication,4.95
598023,2613029,Location,4.9
598023,2613029,Value,4.6
604600,103427,Accuracy,5
604600,103427,Cleanliness,5
604600,103427,Checkin,5
604600,103427,Communication,5
604600,103427,Location,5
604600,103427,Value,5
607788,103427,Accuracy,2
607788,103427,Cleanliness,4
607788,103427,Checkin,5
607788,103427,Communication,5
607788,103427,Location,5
607788,103427,Value,3
609610,3022709,Accuracy,4.86
609610,3022709,Cleanliness,4.91
609610,3022709,Checkin,4.91
609610,3022709,Communication,5
609610,3022709,Location,4.27
609610,3022709,Value,4.91
609701,3023407,Accuracy,4.95
609701,3023407,Cleanliness,4.87
609701,3023407,Checkin,4.98
609701,3023407,Communication,4.97
609701,3023407,Location,4.92
609701,3023407,Value,4.94
611509,3032548,Accuracy,4.87
611509,3032548,Cleanliness,4.76
611509,3032548,Checkin,4.9
611509,3032548,Communication,4.96
611509,3032548,Location,4.84
611509,3032548,Value,4.82
620518,3074414,Accuracy,3.7
620518,3074414,Cleanliness,4.1
620518,3074414,Checkin,3.5
620518,3074414,Communication,3.7
620518,3074414,Location,4.3
620518,3074414,Value,3.6
631445,3139639,Accuracy,4.83
631445,3139639,Cleanliness,4.87
631445,3139639,Checkin,4.85
631445,3139639,Communication,4.79
631445,3139639,Location,4.88
631445,3139639,Value,4.81
635878,3074414,Accuracy,4.56
635878,3074414,Cleanliness,4.47
635878,3074414,Checkin,4.61
635878,3074414,Communication,4.57
635878,3074414,Location,4.56
635878,3074414,Value,4.22
654734,3294357,Accuracy,4.62
654734,3294357,Cleanliness,4.61
654734,3294357,Checkin,4.84
654734,3294357,Communication,4.85
654734,3294357,Location,4.83
654734,3294357,Value,4.53
661708,3340441,Accuracy,5
661708,3340441,Cleanliness,4.9
661708,3340441,Checkin,5
661708,3340441,Communication,5
661708,3340441,Location,5
661708,3340441,Value,4.8
677266,30559,Accuracy,4.56
677266,30559,Cleanliness,4.65
677266,30559,Checkin,4.72
677266,30559,Communication,4.75
677266,30559,Location,4.63
677266,30559,Value,4.61
677365,926885,Accuracy,4.96
677365,926885,Cleanliness,4.94
677365,926885,Checkin,4.96
677365,926885,Communication,4.94
677365,926885,Location,4.86
677365,926885,Value,4.87
681866,103825,Accuracy,5
681866,103825,Cleanliness,4.95
681866,103825,Checkin,5
681866,103825,Communication,5
681866,103825,Location,4.63
681866,103825,Value,4.95
689309,3520873,Accuracy,5
689309,3520873,Cleanliness,5
689309,3520873,Checkin,5
689309,3520873,Communication,5
689309,3520873,Location,4.88
689309,3520873,Value,4.88
703058,1611114,Accuracy,4.95
703058,1611114,Cleanliness,4.98
703058,1611114,Checkin,4.99
703058,1611114,Communication,5
703058,1611114,Location,4.99
703058,1611114,Value,4.9
704764,3620313,Accuracy,4.93
704764,3620313,Cleanliness,4.95
704764,3620313,Checkin,4.94
704764,3620313,Communication,4.96
704764,3620313,Location,4.89
704764,3620313,Value,4.88
708774,316200,Accuracy,4.96
708774,316200,Cleanliness,4.97
708774,316200,Checkin,4.98
708774,316200,Communication,4.95
708774,316200,Location,4.79
708774,316200,Value,4.83
723723,3740695,Accuracy,4.51
723723,3740695,Cleanliness,4.84
723723,3740695,Checkin,4.77
723723,3740695,Communication,4.79
723723,3740695,Location,4.65
723723,3740695,Value,4.56
723846,3737272,Accuracy,4.93
723846,3737272,Cleanliness,4.91
723846,3737272,Checkin,4.94
723846,3737272,Communication,4.94
723846,3737272,Location,4.84
723846,3737272,Value,4.8
741699,2535710,Accuracy,4.89
741699,2535710,Cleanliness,4.75
741699,2535710,Checkin,4.94
741699,2535710,Communication,4.93
741699,2535710,Location,4.77
741699,2535710,Value,4.8
748526,3932149,Accuracy,4.61
748526,3932149,Cleanliness,4.79
748526,3932149,Checkin,4.88
748526,3932149,Communication,4.82
748526,3932149,Location,4.81
748526,3932149,Value,4.63
757840,3991908,Accuracy,4.97
757840,3991908,Cleanliness,4.95
757840,3991908,Checkin,4.95
757840,3991908,Communication,4.9
757840,3991908,Location,4.94
757840,3991908,Value,4.84
789229,1872473,Accuracy,4.82
789229,1872473,Cleanliness,4.55
789229,1872473,Checkin,4.89
789229,1872473,Communication,4.93
789229,1872473,Location,4.73
789229,1872473,Value,4.71
793629,4181120,Accuracy,4.89
793629,4181120,Cleanliness,4.83
793629,4181120,Checkin,4.94
793629,4181120,Communication,4.89
793629,4181120,Location,4.82
793629,4181120,Value,4.84
794633,2012892,Accuracy,4.94
794633,2012892,Cleanliness,4.85
794633,2012892,Checkin,4.96
794633,2012892,Communication,4.91
794633,2012892,Location,4.92
794633,2012892,Value,4.86
841274,4133943,Accuracy,4.96
841274,4133943,Cleanliness,4.89
841274,4133943,Checkin,4.97
841274,4133943,Communication,4.92
841274,4133943,Location,4.84
841274,4133943,Value,4.88
844939,4411144,Accuracy,4.91
844939,4411144,Cleanliness,4.91
844939,4411144,Checkin,4.85
844939,4411144,Communication,4.9
844939,4411144,Location,4.97
844939,4411144,Value,4.79
846763,4421734,Accuracy,4.89
846763,4421734,Cleanliness,4.81
846763,4421734,Checkin,4.82
846763,4421734,Communication,4.88
846763,4421734,Location,4.88
846763,4421734,Value,4.9
877203,287172,Accuracy,4.62
877203,287172,Cleanliness,4.71
877203,287172,Checkin,4.78
877203,287172,Communication,4.75
877203,287172,Location,4.58
877203,287172,Value,4.73
879181,287172,Accuracy,4.85
879181,287172,Cleanliness,4.77
879181,287172,Checkin,4.91
879181,287172,Communication,4.87
879181,287172,Location,4.66
879181,287172,Value,4.8
902243,8243075,Accuracy,4.86
902243,8243075,Cleanliness,4.8
902243,8243075,Checkin,4.81
902243,8243075,Communication,4.85
902243,8243075,Location,4.97
902243,8243075,Value,4.66
902609,3264544,Accuracy,4.87
902609,3264544,Cleanliness,4.86
902609,3264544,Checkin,4.98
902609,3264544,Communication,4.96
902609,3264544,Location,4.5
902609,3264544,Value,4.79
904057,4678869,Accuracy,4.94
904057,4678869,Cleanliness,4.87
904057,4678869,Checkin,4.98
904057,4678869,Communication,4.96
904057,4678869,Location,4.88
904057,4678869,Value,4.92
942490,4705328,Accuracy,4.52
942490,4705328,Cleanliness,4.58
942490,4705328,Checkin,4.83
942490,4705328,Communication,4.76
942490,4705328,Location,4.67
942490,4705328,Value,4.54
948077,365687,Accuracy,4.97
948077,365687,Cleanliness,4.98
948077,365687,Checkin,4.96
948077,365687,Communication,4.88
948077,365687,Location,4.96
948077,365687,Value,4.88
1012003,5567436,Accuracy,4.92
1012003,5567436,Cleanliness,4.97
1012003,5567436,Checkin,4.97
1012003,5567436,Communication,5
1012003,5567436,Location,4.94
1012003,5567436,Value,4.94
1022135,5387574,Accuracy,4.86
1022135,5387574,Cleanliness,4.43
1022135,5387574,Checkin,4.71
1022135,5387574,Communication,4.86
1022135,5387574,Location,3.86
1022135,5387574,Value,4.71
1023693,5635244,Accuracy,4.96
1023693,5635244,Cleanliness,4.97
1023693,5635244,Checkin,4.99
1023693,5635244,Communication,4.99
1023693,5635244,Location,4.84
1023693,5635244,Value,4.88
1042022,5736221,Accuracy,4.9
1042022,5736221,Cleanliness,4.85
1042022,5736221,Checkin,4.99
